6/2/2018,8,2,6,0.25
6/3/2018,17,11,6,0.647058824
6/4/2018,34,15,19,0.441176471
6/5/2018,43,24,19,0.558139535
6/6/2018,33,15,18,0.454545455
6/7/2018,33,21,12,0.636363636
6/8/2018,30,13,17,0.433333333
6/9/2018,7,5,2,0.714285714
6/10/2018,8,6,2,0.75
6/11/2018,25,14,11,0.56
6/12/2018,24,14,10,0.583333333
6/13/2018,60,31,29,0.516666667
6/14/2018,37,26,11,0.702702703
6/15/2018,26,16,10,0.615384615
6/16/2018,18,13,5,0.722222222
6/17/2018,11,7,4,0.636363636
6/18/2018,24,15,9,0.625
6/19/2018,35,22,13,0.628571429
6/20/2018,43,11,32,0.255813953
6/21/2018,43,24,19,0.558139535
6/22/2018,50,28,22,0.56
6/23/2018,9,5,4,0.555555556
6/24/2018,19,6,13,0.315789474
6/25/2018,37,17,20,0.459459459
6/26/2018,37,16,21,0.432432432
6/27/2018,52,27,25,0.519230769
6/28/2018,45,20,25,0.444444444
6/29/2018,36,16,20,0.444444444
6/30/2018,9,5,4,0.555555556
7/1/2018,6,3,3,0.5
7/2/2018,22,10,12,0.454545455
7/3/2018,23,15,8,0.652173913
7/4/2018,8,5,3,0.625
7/5/2018,20,9,11,0.45
7/6/2018,39,22,17,0.564102564
7/7/2018,11,5,6,0.454545455
7/8/2018,8,4,4,0.5
7/9/2018,40,30,10,0.75
7/10/2018,36,17,19,0.472222222
7/11/2018,40,24,16,0.6
7/12/2018,26,14,12,0.538461538
7/13/2018,21,10,11,0.476190476
7/14/2018,11,5,6,0.454545455
7/15/2018,6,5,1,0.833333333
7/16/2018,34,18,16,0.529411765
7/17/2018,51,30,21,0.588235294
7/18/2018,34,21,13,0.617647059
7/19/2018,43,25,18,0.581395349
7/20/2018,38,23,15,0.605263158
7/21/2018,17,11,6,0.647058824
7/22/2018,8,4,4,0.5
7/23/2018,36,18,18,0.5
7/24/2018,39,20,19,0.512820513
7/25/2018,51,29,22,0.568627451
7/26/2018,72,41,31,0.569444444
7/27/2018,34,17,17,0.5
7/28/2018,17,10,7,0.588235294
7/29/2018,19,13,6,0.684210526
7/30/2018,52,29,23,0.557692308
7/31/2018,56,27,29,0.482142857
8/1/2018,61,36,25,0.590163934
8/2/2018,63,39,24,0.619047619
8/3/2018,40,22,18,0.55
8/4/2018,15,11,4,0.733333333
8/5/2018,9,4,5,0.444444444
8/6/2018,48,30,18,0.625
8/7/2018,50,35,15,0.7
8/8/2018,48,27,21,0.5625
8/9/2018,51,25,26,0.490196078
8/10/2018,42,25,17,0.595238095
8/11/2018,22,12,10,0.545454545
8/12/2018,11,9,2,0.818181818
8/13/2018,53,28,25,0.528301887
8/14/2018,49,26,23,0.530612245
8/15/2018,61,35,26,0.573770492
8/16/2018,58,29,29,0.5
8/17/2018,45,27,18,0.6
8/18/2018,13,8,5,0.615384615
8/19/2018,14,7,7,0.5
8/20/2018,40,22,18,0.55
8/21/2018,64,34,30,0.53125
8/22/2018,59,28,31,0.474576271
8/23/2018,58,25,33,0.431034483
8/24/2018,48,24,24,0.5
8/25/2018,12,7,5,0.583333333
8/26/2018,12,9,3,0.75
8/27/2018,51,38,13,0.745098039
8/28/2018,49,27,22,0.551020408
8/29/2018,66,40,26,0.606060606
8/30/2018,63,37,26,0.587301587
8/31/2018,44,26,18,0.590909091
9/1/2018,13,9,4,0.692307692
9/2/2018,9,7,2,0.777777778
9/3/2018,16,8,8,0.5
9/4/2018,77,41,36,0.532467532
9/5/2018,73,42,31,0.575342466
9/6/2018,70,42,28,0.6
9/7/2018,44,18,26,0.409090909
9/8/2018,22,12,10,0.545454545
9/9/2018,14,7,7,0.5
9/10/2018,64,36,28,0.5625
9/11/2018,62,39,23,0.629032258
9/12/2018,85,46,39,0.541176471
9/13/2018,63,27,36,0.428571429
9/14/2018,52,29,23,0.557692308
9/15/2018,29,16,13,0.551724138
9/16/2018,20,8,12,0.4
9/17/2018,75,42,33,0.56
9/18/2018,105,42,63,0.4
9/19/2018,67,38,29,0.567164179
9/20/2018,86,47,39,0.546511628
